,Description,magnitude,score
105,Yeay I have already been adopted!Good luck to me.May I be happy always with my new owner!Thanks also to everybody that showed interest in me.Purr!,3.0,0.6
106,"this cute female puppy is now 5 weeks old now..my female dog give birth to a litter of puppies..the other pups have been successfully adopted, just left her..she's very adorable, playful and cute.so im finding a new and loving home for her.",1.8,0.9
107,"My wife and I adopted Ash at 8 weeks old from our ex-student who rescued his mother without knowing she was pregnant.It has been a memorable 6 months, Ash is playful, kind to people and other dogs, happy always with his big smile and a healthy dog.He is fully vaccinated and dewormed.The reason why we have to put him up for adoption now is because our new jobs require us to be away from home for more than 12hours every day.We feel it is best if Ash can continue growing up in an environment with more attention from his new owners.We look forward to meeting potential adopters to find Ash his new home.Pleasd call/text/whatsapp to arrange for a visit and get to know Ash.",2.8,0.4
108,"accidently found this poor kitten on the road..he is out of food and so dirty and almost die..i rescued him and give him a nice bath and food..please kindly adopt him because i have no time to take care of him,, Somebody please help this poor kitten.",2.2,-0.2
109,"Born- November Call name- Milo (official name- Rightroyale's Milo) Imported from Australia Male, Size is small, mm at the withers and weigh about ibs Vaccinated and dewormed.Food- On BARF diet ( new owner can give Eukanuba dog food if too much trouble with BARF diet) Temperament- submissive, easy-going, can work but not the extreme active type, likes to 'manja' with humans.Trained for Agility and can compete at Novice level.If continue to train for agility, he can get Malaysian Agility Champion title in 1-2 years.Competed in 3 agility trials (Mini class) and received 1st and 2nd prizes in various classes.Looking for a home who has no dogs and willing to spend time to continue agility training him once a week.Any other questions please let me know",1.7,0.1
110,"Owner one day decided to give up on this puppy and dumped him on the streets and was eventually rescued by us.I'm not able to care for this sweetheart even when I want to due to my schedule of work.So hoping someone who is kind enough to have a thought of adopting this mild baby.Besides everything being healthy, it has a series of fungus growth that was left by the owner (it's healing now).It has been vaccinated and is currently in my care until someone wonderful decides to care for this sweetie pie.",1.8,0.0
111,"Hi, if you wish to adopt me, please call Carol",0.3,0.3
112,"A dog delivered 4 puppies outside of my house, under hot sun.I have no choice but keep and feed them inside, now they are almost 3 weeks old.P.S.Puppies are growing up healthily as they are breastfed by their mother since born.",0.8,0.0
113,This gorgeous girl is just the definition of the word love.She is ever so gentle very friendly.She has gone through a lot and its time for her to get some love back.Be assured that she will love you even more.she loves grass loves to be around kids and extremely loyal.her eyes can on any given day melt you and bring a smile on your face on your bad days.,4.6,0.7
114,Breed: Toy Poodle Colour: Golden Brown,0.0,0.0
115,"A mother with 2 Male kittens.Someone dumped the mother &amp; gave birth to 2 male kittens.Mother is about 1 year old, and kittens are now about 3 months old.Prefer not to separate all of them.They are all in a good health, kittens are super active and lovely.if you are interested to give them a forever lovely home and part of your family, kindly contact me.Repost - Thank you for those who had been calling and contacting me earlier, i truly appreciate your intent, unfortunately i would love to see them adopt together with the mother.(mother is spayed, she is about 1 year old)",4.1,0.2
116,"This cat is walking around Impian Meridian Condominium, which is located in Subang Jaya, Jalan Subang 1, USJ1.She always coming to my sisters house, to 22(!) floor, we have tried to find owner, but no results.If you have any info please do let me know.I cant take her in to my house as I have puppies and allergy on cats.",0.8,-0.2
117,"Please contact us to adopt this pet, or visit our PAWS shelter to check out this and other adorable pets!!",0.7,0.7
118,"Kaizek loves human and is at a very curious stage of growing up.He does need to built his confidence a lil bit as he is still at the growing up age.He loves any toys.His favourite is playing 'fetch'.At such a young age he knows how to fetch and return the toys I toss for him.Kaizek knows the basic instruction of waiting calmly for his food, paw paw, sit and he is toilet trained.If you wish to view videos of him, please do drop me a whatsapp me.",3.2,0.4
119,"STRAWBERRY is one of the Berries siblings rescued with their mother under a car when they were only 3 days old.Very frenly, very huggable.cute curly tail!She has a nice shiny black coat and wavy/curly hair along the spine.An indoor dog as well as can watch the house.Adopter to reimburse for the vaccination (9in1, completed) and neutering costs.Please call if interested and do come see Strawberry for yourself.Home visit will be arranged with potential adopter.Thank u! :)",3.9,0.3
120,The kitty were weaned.There are two boys and two girls.,0.0,0.0
121,"This sweet female stray at a local market needs a home sweet home.The market is not safe place for her.Already spayed and vaccinated.If you can give her a loving home and be a responsible owner, please contact.",2.1,0.1
122,"We found them crying behind our house without a cat mama taking care of them, so we rescue them and feed them.But I'm a student so I can't pay so much attention to them and afford them.I have took care of them for 2months, so it's hard saying goodbye too.I really hope they can be loved and happy :)Please help me share the information or msg me, thanks.",2.0,0.1
123,"Winson, male about 3 months, currently in foster care needs a responsible owner and a loving home.Winson could blossom into a really fun loving and warm kitty giving time and much love.If you are looking for a kitty that could be a good pet companion, then please contact .",2.2,0.7
124,"Looking for responsible, loving cat lovers to adopt these cute adorable stray kittens - Bijo, Bijin and Billie.If you can offer any of these kitties furever loving homes, please contact .Potential adopters must vaccinate and spay/neuter these kitteis when they are older.Thank you!",2.1,0.4
